date,china
6/30/2023,60.548
6/29/2023,61.808
6/28/2023,61.835
6/27/2023,62.295
6/26/2023,62.152
6/23/2023,59.922
6/22/2023,58.417
6/21/2023,58.827
6/20/2023,58.893
6/19/2023,58.661
6/16/2023,58.476
6/15/2023,59.514
6/14/2023,60.115
6/13/2023,61.023
6/12/2023,60.697
6/9/2023,61.728
6/8/2023,62.187
6/7/2023,62.367
6/6/2023,61.498
6/5/2023,63.032
6/2/2023,63.876
6/1/2023,65.972
5/31/2023,67.395
5/30/2023,65.159
5/29/2023,67.944
5/26/2023,68.74
5/25/2023,68.68
5/24/2023,68.922
5/23/2023,68.447
5/22/2023,68.7
5/19/2023,69.313
5/18/2023,70.51
5/17/2023,72.374
5/16/2023,71.48
5/15/2023,71.645
5/12/2023,71.694
5/11/2023,72.161
5/10/2023,74.611
5/9/2023,76.493
5/8/2023,75.64
5/5/2023,76.192
5/4/2023,77.65
5/3/2023,76.372
5/2/2023,74.052
5/1/2023,71.47
4/28/2023,72.515
4/27/2023,72.702
4/26/2023,75.325
4/25/2023,74.01
4/24/2023,72.839
4/21/2023,71.652
4/20/2023,70.676
4/19/2023,69.556
4/18/2023,67.949
4/17/2023,67.322
4/14/2023,68.427
4/13/2023,68.265
4/12/2023,69.628
4/11/2023,71.999
4/10/2023,75.111
4/7/2023,73.791
4/6/2023,73.58
4/5/2023,74.02
4/4/2023,72.952
4/3/2023,72.634
3/31/2023,73.622
3/30/2023,76.089
3/29/2023,80.21
3/28/2023,83.218
3/27/2023,86.126
3/24/2023,85.881
3/23/2023,81.659
3/22/2023,79.596
3/21/2023,79.878
3/20/2023,84.635
3/17/2023,76.441
3/16/2023,79.409
3/15/2023,79.046
3/14/2023,78.117
3/13/2023,74.914
3/10/2023,73.793
3/9/2023,69.968
3/8/2023,69.777
3/7/2023,66.547
3/6/2023,66.237
3/3/2023,66.727
3/2/2023,69.364
3/1/2023,69.211
2/28/2023,71.309
2/27/2023,71.73
2/24/2023,72.318
2/23/2023,70.576
2/22/2023,73.002
2/21/2023,70.684
2/20/2023,64.538
2/17/2023,64.219
2/16/2023,61.691
2/15/2023,62.579
2/14/2023,61.643
2/13/2023,62.231
2/10/2023,60.277
2/9/2023,57.962
2/8/2023,56.1
2/7/2023,56.631
2/6/2023,56.123
2/3/2023,50.547
2/2/2023,49.909
2/1/2023,52.333
1/31/2023,53.423
1/30/2023,51.506
1/27/2023,49.455
1/26/2023,50.232
1/25/2023,51.41
1/24/2023,51.417
1/23/2023,51.403
1/20/2023,51.554
1/19/2023,52.016
1/18/2023,51.441
1/17/2023,52.709
1/16/2023,53.276
1/13/2023,53.833
1/12/2023,54.798
1/11/2023,57.28
1/10/2023,59.899
1/9/2023,59.41
1/6/2023,62.54
1/5/2023,66.444
1/4/2023,70.243
1/3/2023,70.608
1/2/2023,73.957
12/30/2022,72.881
12/29/2022,73.115
12/28/2022,72.926
12/27/2022,74.13
12/26/2022,75.248
12/23/2022,73.98
12/22/2022,75.33
12/21/2022,76.003
12/20/2022,76.769
12/19/2022,75.614
12/16/2022,74.777
12/15/2022,71.861
12/14/2022,70.156
12/13/2022,71.186
12/12/2022,74.327
12/9/2022,75.099
12/8/2022,75.516
12/7/2022,76.518
