date,japan
6/29/2018,24.875
7/6/2018,25.64
7/13/2018,23.995
7/20/2018,23.97
7/27/2018,25.495
8/3/2018,25.665
8/10/2018,25.53
8/17/2018,25.46
8/24/2018,25.5
8/31/2018,24.73
9/7/2018,24.38
9/14/2018,22.64
9/21/2018,24.225
9/28/2018,24.09
10/5/2018,24.01
10/12/2018,23.24
10/19/2018,23.05
10/26/2018,24.435
11/2/2018,22.8
11/9/2018,18.445
11/16/2018,18.53
11/23/2018,17.5
11/30/2018,17.615
12/7/2018,20.465
12/14/2018,22.605
12/21/2018,23.685
12/28/2018,24.945
1/4/2019,24.465
1/11/2019,23.435
1/18/2019,22.09
1/25/2019,19.81
2/1/2019,19.85
2/8/2019,19.925
2/15/2019,20.42
2/22/2019,20.465
3/1/2019,19.71
3/8/2019,19.99
3/15/2019,20.48
3/22/2019,23.225
3/29/2019,21.635
4/5/2019,21.05
4/12/2019,21.115
4/19/2019,20.915
4/26/2019,20.88
5/3/2019,20.95
5/10/2019,21.71
5/17/2019,22.43
5/24/2019,22.725
5/31/2019,22.72
6/7/2019,23.28
6/14/2019,22.485
6/21/2019,21.915
6/28/2019,21.025
7/5/2019,20.555
7/12/2019,20.69
7/19/2019,20.625
7/26/2019,20.595
8/2/2019,20.355
8/6/2019,23.433
8/7/2019,23.297
8/8/2019,23.465
8/9/2019,23.098
8/18/2019,23.545
8/25/2019,22.385
8/26/2019,23.241
8/27/2019,23.253
8/29/2019,23.04
8/30/2019,22.726
9/2/2019,23.038
9/3/2019,23.092
9/4/2019,23.062
9/5/2019,22.616
9/6/2019,22.339
9/15/2019,20.975
9/22/2019,23
9/24/2019,23.206
9/25/2019,23.226
9/26/2019,23.509
9/27/2019,23.511
10/6/2019,22.86
10/13/2019,22.145
10/18/2019,22.361
10/24/2019,22.36
10/25/2019,22.17
10/28/2019,22.183
10/29/2019,22.098
10/30/2019,22.128
10/31/2019,22.13
11/1/2019,22.295
11/6/2019,22.188
11/7/2019,22.35
11/8/2019,22.36
11/11/2019,22.322
11/12/2019,22.333
11/13/2019,22.362
11/14/2019,22.439
11/15/2019,22.339
11/20/2019,22.441
11/21/2019,22.595
11/22/2019,22.569
11/27/2019,22.365
11/28/2019,22.359
11/29/2019,22.14
12/2/2019,22.379
12/3/2019,22.204
12/4/2019,22.202
12/5/2019,22.227
12/15/2019,20.925
12/22/2019,19.525
12/23/2019,21.063
12/26/2019,21.03
12/27/2019,21.042
1/5/2020,20.125
1/7/2020,21.153
1/8/2020,21.426
1/9/2020,21.25
1/16/2020,20.854
1/26/2020,18.345
1/28/2020,20.373
1/29/2020,19.388
1/30/2020,19.581
1/31/2020,19.424
2/3/2020,19.466
2/4/2020,19.407
2/5/2020,19.172
2/6/2020,16.592
2/7/2020,18.392
2/12/2020,16.369
2/13/2020,18.918
2/14/2020,18.975
2/21/2020,15.58
2/25/2020,18.653
2/26/2020,20.352
2/27/2020,20.68
2/28/2020,22.335
3/2/2020,23.598
3/3/2020,23.422
3/9/2020,27.367
3/10/2020,30.366
3/11/2020,33.766
3/12/2020,37.089
3/13/2020,37.095
3/17/2020,45.029
3/18/2020,44.41
3/19/2020,44.408
3/20/2020,39.399
3/23/2020,47.194
3/24/2020,45.521
3/26/2020,43.883
3/27/2020,43.987
4/1/2020,40.136
4/2/2020,40.177
4/3/2020,40.244
4/6/2020,40.278
4/8/2020,38.08
4/9/2020,37.953
4/13/2020,33.096
4/14/2020,32.832
4/15/2020,31.989
4/16/2020,34.725
4/17/2020,34.423
4/20/2020,34.897
4/21/2020,34.328
4/22/2020,35.173
4/23/2020,35.788
4/24/2020,35.52
4/27/2020,34.728
4/28/2020,34.044
4/30/2020,33.903
5/1/2020,33.573
5/4/2020,33.367
5/5/2020,33.042
5/6/2020,33.58
5/7/2020,32.605
5/8/2020,32.494
5/11/2020,32.449
5/12/2020,31.845
5/13/2020,31.714
5/14/2020,30.782
5/15/2020,29.625
5/18/2020,29.06
5/19/2020,28.249
5/20/2020,27.539
5/21/2020,27.168
5/22/2020,26.559
5/25/2020,26.037
5/26/2020,25.766
5/27/2020,23.933
5/28/2020,23.966
5/29/2020,24.157
6/1/2020,23.019
6/2/2020,21.877
6/3/2020,21.723
6/4/2020,21.292
6/5/2020,19.938
6/8/2020,20.128
6/9/2020,19.531
6/10/2020,19.483
6/11/2020,18.97
6/12/2020,19.092
6/15/2020,19.202
6/16/2020,19.298
6/17/2020,19.184
6/18/2020,19.195
6/19/2020,18.705
6/22/2020,18.884
6/23/2020,19.168
6/24/2020,19.161
6/25/2020,19.147
6/26/2020,18.684
6/29/2020,18.441
6/30/2020,18.538
7/1/2020,18.49
7/2/2020,18.476
7/6/2020,18.136
7/7/2020,18.092
7/8/2020,18.519
7/9/2020,18.275
7/10/2020,18.05
7/13/2020,18.413
7/14/2020,18.382
7/15/2020,18.298
7/16/2020,18.346
7/17/2020,18.19
7/20/2020,18.755
7/21/2020,18.3
7/22/2020,17.407
7/27/2020,18.343
7/28/2020,18.416
7/29/2020,18.298
7/30/2020,18.039
