date,singapore
6/30/2023,38.587
6/29/2023,38.413
6/28/2023,38.427
6/27/2023,38.245
6/26/2023,37.906
6/23/2023,37.593
6/22/2023,37.396
6/21/2023,37.268
6/20/2023,37.228
6/19/2023,37.194
6/16/2023,37.315
6/15/2023,37.309
6/14/2023,37.486
6/13/2023,37.628
6/12/2023,38.242
6/9/2023,38.535
6/8/2023,38.52
6/7/2023,38.543
6/6/2023,38.653
6/5/2023,38.716
6/2/2023,39.791
6/1/2023,39.787
5/31/2023,39.435
5/30/2023,39.238
5/29/2023,39.449
5/26/2023,40.547
5/25/2023,40.799
5/24/2023,40.768
5/23/2023,40.779
5/22/2023,41.22
5/19/2023,42.774
5/18/2023,42.903
5/17/2023,44.063
5/16/2023,45.158
5/15/2023,45.654
5/12/2023,46.164
5/11/2023,46.499
5/10/2023,46.499
5/9/2023,46.741
5/8/2023,47.109
5/5/2023,46.718
5/4/2023,46.712
5/3/2023,46.717
5/2/2023,46.72
5/1/2023,47.014
4/28/2023,48.17
4/27/2023,49.464
4/26/2023,49.47
4/25/2023,49.931
4/24/2023,49.73
4/21/2023,49.623
4/20/2023,49.301
4/19/2023,49.292
4/18/2023,50.242
4/17/2023,50.669
4/14/2023,51.342
4/13/2023,52.15
4/12/2023,52.759
4/11/2023,52.775
4/10/2023,52.653
4/7/2023,52.824
4/6/2023,52.454
4/5/2023,52.012
4/4/2023,51.742
4/3/2023,51.812
3/31/2023,51.776
3/30/2023,53.085
3/29/2023,53.167
3/28/2023,53.101
3/27/2023,53.146
3/24/2023,53.085
3/23/2023,52.432
3/22/2023,52.058
3/21/2023,52.649
3/20/2023,50.866
3/17/2023,48.954
3/16/2023,48.46
3/15/2023,48.257
3/14/2023,47.858
3/13/2023,46.178
3/10/2023,46.047
3/9/2023,45.22
3/8/2023,45.239
3/7/2023,45.154
3/6/2023,45.254
3/3/2023,46.073
3/2/2023,46.126
3/1/2023,45.852
2/28/2023,45.397
2/27/2023,45.541
2/24/2023,45.008
2/23/2023,44.64
2/22/2023,44.679
2/21/2023,42.754
2/20/2023,42.326
2/17/2023,42.197
2/16/2023,42.038
2/15/2023,42.322
2/14/2023,42.146
2/13/2023,41.77
2/10/2023,40.989
2/9/2023,40.628
2/8/2023,40.208
2/7/2023,40.321
2/6/2023,39.765
2/3/2023,41.236
2/2/2023,42.074
2/1/2023,42.25
1/31/2023,44.726
1/30/2023,45.827
1/27/2023,46.041
1/26/2023,46.307
1/25/2023,47.15
1/24/2023,47.378
1/23/2023,47.813
1/20/2023,47.963
1/19/2023,47.977
1/18/2023,47.867
1/17/2023,47.959
1/16/2023,47.524
1/13/2023,47.589
1/12/2023,47.757
1/11/2023,47.967
1/10/2023,48.347
1/9/2023,48.637
1/6/2023,48.689
1/5/2023,48.518
1/4/2023,48.366
1/3/2023,48.134
1/2/2023,48.248
12/30/2022,48.006
12/29/2022,47.952
12/28/2022,47.92
12/27/2022,47.69
12/26/2022,47.836
12/23/2022,47.8
12/22/2022,47.45
12/21/2022,47.432
12/20/2022,46.932
12/19/2022,46.163
12/16/2022,45.634
12/15/2022,45.769
12/14/2022,46.076
12/13/2022,46.471
12/12/2022,46.873
12/9/2022,46.894
12/8/2022,47.411
12/7/2022,47.382
12/6/2022,47.217
12/5/2022,47.419
12/2/2022,47.244
12/1/2022,47.73
11/30/2022,48.688
11/29/2022,48.962
11/28/2022,48.545
11/25/2022,48.667
11/24/2022,49.386
11/23/2022,50.806
11/22/2022,50.78
11/21/2022,50.715
11/18/2022,51.171
11/17/2022,51.52
11/16/2022,51.918
11/15/2022,53.694
11/14/2022,54.13
11/11/2022,56.864
11/10/2022,57.616
11/9/2022,58.87
11/8/2022,61.278
11/7/2022,63.356
11/4/2022,64.131
11/3/2022,63.783
11/2/2022,63.787
11/1/2022,64.746
10/31/2022,65.337
10/28/2022,66.289
10/27/2022,65.292
10/26/2022,64.964
10/25/2022,64.504
10/24/2022,63.544
10/21/2022,62.704
10/20/2022,61.607
10/19/2022,61.503
10/18/2022,62.35
10/17/2022,64.284
10/14/2022,64.323
10/13/2022,64.54
10/12/2022,64.969
10/11/2022,64.724
10/10/2022,64.197
10/7/2022,63.985
10/6/2022,64.159
10/5/2022,64.341
10/4/2022,66.919
10/3/2022,68.281
9/30/2022,66.292
9/29/2022,64.034
9/28/2022,64.365
9/27/2022,63.26
9/26/2022,62.031
9/23/2022,58.793
9/22/2022,58.249
9/21/2022,54.523
9/20/2022,51.405
9/19/2022,48.636
9/16/2022,48.553
9/15/2022,47.353
9/14/2022,46.875
9/13/2022,46.278
9/12/2022,46.521
9/9/2022,47.008
9/8/2022,46.99
9/7/2022,47.165
9/6/2022,46.687
9/5/2022,46.198
9/2/2022,46.029
9/1/2022,45.388
8/31/2022,45.281
8/30/2022,45.092
8/29/2022,45.229
8/26/2022,44.544
8/25/2022,44.807
8/24/2022,45.307
8/23/2022,45.051
8/22/2022,44.683
8/19/2022,44.84
8/18/2022,44.201
8/17/2022,44.681
8/16/2022,45.189
8/15/2022,45.99
8/12/2022,46.421
8/11/2022,47.652
8/10/2022,47.506
8/9/2022,47.55
8/8/2022,47.521
8/5/2022,48.066
8/4/2022,48.234
8/3/2022,48.17
8/2/2022,48.594
8/1/2022,48.883
7/29/2022,49.519
7/28/2022,50.652
7/27/2022,51.512
7/26/2022,51.847
7/25/2022,52.365
7/22/2022,52.875
7/21/2022,54.532
7/20/2022,55.177
7/19/2022,57.095
7/18/2022,57.797
7/15/2022,57.535
7/14/2022,57.858
7/13/2022,59.224
7/12/2022,59.527
7/11/2022,59.663
7/8/2022,60.378
7/7/2022,61.131
7/6/2022,61.508
7/5/2022,61.303
7/4/2022,61.098
7/1/2022,58.912
6/30/2022,56.856
6/29/2022,55.047
6/28/2022,54.596
6/27/2022,54.961
6/24/2022,55.681
6/23/2022,56.446
6/22/2022,55.719
6/21/2022,56.558
6/20/2022,57.28
6/17/2022,54.334
6/16/2022,49.654
6/15/2022,49.759
6/14/2022,48.067
6/13/2022,45.373
6/10/2022,43.561
6/9/2022,43.08
6/8/2022,42.28
6/7/2022,42.53
6/6/2022,42.13
6/3/2022,42.629
6/2/2022,42.601
6/1/2022,42.703
5/31/2022,43.404
5/30/2022,44.272
5/27/2022,44.856
5/26/2022,45.767
5/25/2022,46.469
5/24/2022,46.901
5/23/2022,46.944
5/20/2022,46.707
5/19/2022,46.888
5/18/2022,46.429
5/17/2022,46.758
5/16/2022,46.409
5/13/2022,46.515
5/12/2022,46.255
5/11/2022,46.176
5/10/2022,46.051
5/9/2022,45.534
5/6/2022,43.437
