date,thailand
6/28/2023,52.575
6/27/2023,53.166
6/26/2023,53.632
6/22/2023,52.258
6/21/2023,52.143
6/20/2023,51.62
6/19/2023,51.612
6/16/2023,51.315
6/15/2023,51.69
6/14/2023,51.99
6/13/2023,52.725
6/12/2023,52.566
6/9/2023,54.801
6/8/2023,54.641
6/7/2023,54.874
6/6/2023,54.833
6/5/2023,54.934
6/2/2023,54.994
6/1/2023,56.856
5/31/2023,56.438
5/30/2023,53.034
5/29/2023,54.49
5/26/2023,54.43
5/25/2023,54.158
5/24/2023,54.292
5/23/2023,53.8
5/22/2023,54.362
5/19/2023,54.529
5/18/2023,54.193
5/17/2023,53.202
5/16/2023,53.199
5/15/2023,52.865
5/12/2023,53.59
5/11/2023,51.984
5/10/2023,52.766
5/9/2023,52.268
5/8/2023,52.034
5/5/2023,52.173
5/4/2023,52.405
5/3/2023,52.206
5/2/2023,49.152
4/28/2023,50.262
4/27/2023,49.946
4/26/2023,51.221
4/25/2023,50.576
4/24/2023,50.28
4/21/2023,49.938
4/20/2023,49.917
4/19/2023,48.768
4/18/2023,48.316
4/17/2023,48.738
4/14/2023,48.545
4/13/2023,49.098
4/12/2023,49.981
4/11/2023,51.08
4/5/2023,50.919
4/4/2023,50.913
4/3/2023,50.47
3/31/2023,52.81
3/30/2023,54.304
3/29/2023,54.994
3/28/2023,53.647
3/27/2023,54.4
3/24/2023,54.786
3/23/2023,50.319
3/22/2023,50.303
3/21/2023,51.148
3/20/2023,52.128
3/17/2023,48.345
3/16/2023,49.128
3/15/2023,49.796
3/14/2023,49.564
3/13/2023,48.154
3/10/2023,48.848
3/9/2023,47.825
2/24/2023,50.164
2/23/2023,50.761
2/22/2023,51.143
2/21/2023,50.194
2/20/2023,48.649
2/17/2023,48.013
2/16/2023,47.495
2/15/2023,48.609
2/14/2023,47.673
2/13/2023,48.491
2/10/2023,46.525
2/9/2023,46.443
2/8/2023,45.965
2/7/2023,47.281
2/6/2023,47.47
2/3/2023,45.135
2/2/2023,46.911
2/1/2023,49.719
1/31/2023,49.843
1/30/2023,49.528
1/20/2023,48.547
1/19/2023,49.137
1/18/2023,49.617
1/17/2023,50.61
1/16/2023,51.394
1/13/2023,50.622
1/12/2023,52.166
1/11/2023,55.036
1/10/2023,55.397
1/9/2023,54.655
1/6/2023,55.978
1/5/2023,57.248
1/4/2023,57.458
1/3/2023,58.809
12/30/2022,61.38
12/29/2022,61.105
12/16/2022,60.14
12/15/2022,57.959
12/14/2022,57.307
12/13/2022,57.065
12/12/2022,59.28
12/9/2022,59.267
12/8/2022,59.919
12/7/2022,59.99
12/6/2022,59.026
12/5/2022,57.647
12/2/2022,58.166
12/1/2022,58.276
11/30/2022,60.895
11/29/2022,64.847
11/28/2022,66.951
11/25/2022,64.714
11/24/2022,66.244
11/23/2022,71.503
11/22/2022,74.48
11/21/2022,75.059
11/18/2022,73.766
11/17/2022,74.138
11/16/2022,71.098
11/15/2022,71.778
11/14/2022,72.071
11/11/2022,72.402
11/10/2022,81.797
11/9/2022,82.461
11/8/2022,81.717
11/7/2022,84.094
11/4/2022,88.261
11/3/2022,88.9
11/2/2022,86.417
11/1/2022,87.208
10/31/2022,87.384
10/28/2022,87.737
10/27/2022,87.03
10/26/2022,89.388
10/25/2022,93.348
10/21/2022,90.623
10/20/2022,91.125
10/19/2022,90.382
10/18/2022,90.464
10/17/2022,91.002
10/14/2022,90.271
10/13/2022,89.762
